sign_language,spoken_language,country_code,texts,sign_writing
ssr,fr,ch,Aller,AS10050S10058S2c301S2c311S2fb00S10030S10038M537x554S10038477x456S10030522x445S2c301505x483S2c311462x493S2fb00501x474S10050518x517S10058464x524
ssr,fr,ch,Cultivé - cultivée,M518x517S30000482x482S16d40499x459S20500486x470
ssr,fr,ch,Ensemble,AS1f740S1f748S20500S2e82aM521x523S1f748479x494S1f740501x494S20500495x512S2ec2a481x476
ssr,fr,ch,Affection,AS1f710S20f00S26a04S30006M546x532S30006482x483S1f710521x484S26a04519x503S20f00517x520
ssr,fr,ch,Bulle,M543x557S33b00482x483S10012513x542S2910d511x509
ssr,fr,ch,Plâtre,M543x534S20330525x519S20338459x519S22c00527x466S22c10458x469
ssr,fr,ch,Sahara occidental,M531x535S18520470x467S37900490x482S26b00504x466S18136479x523S20500470x510
ssr,fr,ch,Subvention,M530x536S15a5a503x502S37806471x508S1ea43504x465S26704501x494S21414488x517S20e00516x517
ssr,fr,ch,Réaliser,M527x517S15d48474x490S10e42497x500S20600493x483
ssr,fr,ch,Bruit,M574x568S33010479x482S11800553x469S11808531x496S2e00d553x503S2e015530x530
ssr,fr,ch,Manteau,M536x524S36d00479x476S20342501x494S2034a482x494S26502521x495S26516457x495S20500495x513
ssr,fr,ch,Sembler,M567x623S10001499x501S33100482x483S20600523x501S20351524x581S20359465x581S23004542x604S23014439x605
ssr,fr,ch,Soleure,M516x542S10000492x473S37609487x502S2eb06484x457
ssr,fr,ch,Obligation,M534x521S1ec48476x479S1ec40500x479S20500495x503S26906516x505S26912466x503
ssr,fr,ch,Pâques,M527x524S1ea12473x484S37802493x492S26b00500x476
sgg,de,ch,Glace,M534x569S35a04482x482S20301489x523S37803504x539S2eb04516x516
ssr,fr,ch,Solde,M525x537S11551498x479S11559475x480S22b24493x507S20500493x464
ssr,fr,ch,Ménage,M547x532S20320530x468S20328457x468S29c04530x495S29c1c454x493
ssr,fr,ch,Pride,M534x596S14c58479x496S14c50495x469S26800498x412S26810480x435S22e04513x452S22e04514x429S22e04514x405S22e14466x479S22e14466x458S22e14464x437S36d00479x550S14c13507x559S22b07476x569S21100498x557S22624503x587
ssr,fr,ch,Voie,M531x538S15d40512x510S15d48470x511S26710477x462S26700512x462
ssr,fr,ch,Témoin,M523x522S15d28478x493S21410495x514S20600487x478S10052493x491
ssr,fr,ch,Attirer,M543x531S26624467x471S15039460x502S15031513x504S2fb04494x520S26604520x470S21600535x475S21600457x477
ssr,fr,ch,Nuage,M566x518S32400482x483S15010508x438S15018445x438S28436533x444S2841a471x446
ssr,fr,ch,Coincer,M518x550S36a00482x477S20500495x516S1ec02488x527
ssr,fr,ch,Serviette de table,M535x546S33b00482x483S18500511x521S2e500488x519
ssr,fr,ch,Rennes,M564x518S30001482x483S30007482x483S14c20515x470S14c28462x471S28907539x471S20500485x473S20500507x472S2891f434x473
sgg,de,ch,Pyjama,M542x537S36d00479x463S1f502511x476S1f50a473x476S22b04511x507S22b14471x505S21100529x504S21100455x503
ssr,fr,ch,Sourcil,AS10001S21100S2880aS30d10M541x530S30d10482x482S10001520x500S2880a493x488S21100516x481
ssr,fr,ch,Contre,M532x529S1475a468x504S16d10515x499S28100492x486S16d20474x471S20500485x515S37900482x489
ssr,fr,ch,Chapeau,AS15d12S20600S2ff20M524x518S2ff20476x483S20600491x494S15d12489x461
ssr,fr,ch,Blinis,M515x556S2e730490x445S15d31485x474S1d040492x526
ssr,fr,ch,Parental,M532x536S30006482x482S30004482x482S14710518x487S14b10489x518S22107518x514S20500514x476S20500477x511
ssr,fr,ch,Compost,M545x526S16c48456x505S15751475x504S17640529x475S28903496x476
ssr,fr,ch,Électricien,M516x564S20600489x524S10a10501x538S10a18484x538S1ec57493x436S22b04491x464
ssr,fr,ch,Sang-saigner,M541x590S33b00482x482S21b00511x536S14c01515x563S22b04522x530S10701516x498S20500502x502
ssr,fr,ch,Ford,M520x523S26504502x482S20300481x477S37802488x491S2f900509x504
ssr,fr,ch,Enlever,M526x537S15d18475x482S15d00496x478S20e00494x463S26604494x507S26904510x508
ssr,fr,ch,Canapé,M536x519S1ec40489x500S1ec48465x500S2da28496x482
ssr,fr,ch,Buenos aires,M522x534S15d28478x466S10012492x476S27102506x494S21100490x507
ssr,fr,ch,Exposition,M565x573S2ff00482x482S18108459x497S18100527x496S2e106516x530S2e112462x528S27e0b543x531S27e1f436x532
ssr,fr,ch,Enduire,M532x521S1dc58468x479S18550495x481S26b04505x503
ssr,fr,ch,Judo,M523x541S2b700504x479S20301499x504S20308487x526S2b741478x507S20331497x459S20338485x487
ssr,fr,ch,Pénal,M535x539S20500484x519S25603490x478S20348465x524S20310520x460S20341466x505
ssr,fr,ch,Or,AS17600S2df0fS11a20M519x529S17600481x486S11a20504x471S2df0f490x505
ssr,fr,ch,Cuillère,M533x559S1ea42493x532S2eb34517x527S33b00482x483
ssr,fr,ch,Soeur,AS20320S27102M518x521S37700510x493S20320503x479S27102482x481
ssr,fr,ch,Habiter,M537x529S15228474x471S15220506x471S18520508x514S18528466x514S22a04524x494S22a14463x495S22104503x505S22104489x505
ssr,fr,ch,Lécher,AS11951S22110S35a04M518x538S11951476x519S35a04482x482S22110457x510
ssr,fr,ch,Funambule,M536x533S10059464x512S10e04484x483S26707505x468S22617501x472
ssr,fr,ch,Empreintes digitales,M536x607S15d39472x394S15d39472x435S15d39469x476S15d39468x518S15d39464x560S1f550483x399S2c307508x414S1dc51484x444S2c307511x462S11e51475x483S2c307504x505S18e51478x528S2c307501x548S14c51469x569S2c307494x589
ssr,fr,ch,Déplacement,M589x535S11850566x481S26606534x519S26602531x508S26606534x497S36d10479x465
ssr,fr,ch,Boucle magnétique,M565x522S1ce40497x412S1ce48474x412S2d606502x388S2d61e471x388S20500492x380S20500490x444S33010479x483S1d410523x487S26a06551x495
ssr,fr,ch,S'associer,M580x526S1ce10500x474S1ce48479x475S20700492x511S28902524x488S2891a448x489S1d010557x476S1d048421x476
ssr,fr,ch,Parcmètre,M542x574S14750500x426S14758484x426S23b04522x436S23b1c460x437S14740528x461S14748458x462S1eb20495x555S1ee20495x516S26500506x541
ssr,fr,ch,Chasser,M554x553S11550506x511S11558477x461S2f900482x448S2f900506x501S2fb00488x547S26c00527x513S26c10446x467
ssr,fr,ch,Peau,M539x518S32b10482x483S1ea10516x496S20a00520x478
ssr,fr,ch,Guetter,M545x518S31b00482x483S10e50530x475
ssr,fr,ch,Ville,M554x529S10e01506x474S10e09470x474S20500496x487S2df08522x506S2df10456x508S10e20539x471S10e28446x471
ssr,fr,ch,Exercer,M545x531S10a39463x503S10a31513x505S2e60d516x472S2e615456x469
ssr,fr,ch,Poireau,M535x539S37602502x461S14c13470x513S20500490x491S37807503x497S22100478x502S20313492x499S22100466x506
ssr,fr,ch,Oeuf à la coque,M545x574S10e22515x460S10e18479x433S10e02480x426S20700456x427S2b700513x431S17648480x558S1ea40512x545S26602479x538
ssr,fr,ch,Collant,M559x539S36d10479x462S22204532x515S1d450530x511S1d458495x511S22204513x516S22a00532x495S22a10510x496
ssr,fr,ch,Carrosserie 1,M551x541S18119449x519S18150477x511S28f0a497x460S28e33470x476
ssr,fr,ch,Orbe,M559x536S15d00503x465S15d08482x465S15d52532x516S15d5a442x517S28a17472x495S28a0f500x495
ssr,fr,ch,Nature,M535x533S22e04466x503S11940518x500S11550482x468S2a009487x508
ssr,fr,ch,Péroné,M583x584S15050439x450S14c58418x431S20f00440x416S21400422x464S26a04440x432S17610473x503S20320495x503S2df08481x523S37906516x578S1f100554x569S21100537x561S26602503x564
ssr,fr,ch,Crevette,M543x533S13d00512x506S13f08458x466S2b700512x481S13d08456x507S13f00514x468S2b711462x482S36d00479x529
ssr,fr,ch,Gronder,M550x559S30a00482x482S10010529x505S26b04523x541
ssr,fr,ch,Fil,M562x550S19a01501x451S19a09469x451S20500495x450S26606532x459S26612439x461S10a10504x524S10a18487x524S20600492x508
ssr,fr,ch,Figue,M542x530S30005482x483S15017515x490S20600510x519
ssr,fr,ch,Déborder,M586x526S17650504x482S17658484x482S14c40562x492S14c48415x495S28a0a528x474S28a12441x475
ssr,fr,ch,Gruyère 2,M552x538S33100482x483S15d32489x519S20f00524x499S26a00525x483
ssr,fr,ch,Image,M544x530S14c28477x486S14c11499x488S20700492x469S28908529x501S28910456x499
ssr,fr,ch,Compote de fruits,M570x530S30005482x483S26a04543x512S20f00539x497S1c510512x502
ssr,fr,ch,Lasagne,M525x530S16c18476x471S18010495x479S24c0c493x495
ssr,fr,ch,Agréable,M553x546S28803489x526S14c00518x507S22630519x497S33e00482x483
ssr,fr,ch,Portière,M527x521S14758474x484S14710490x484S14711506x479S26c09508x501S20500484x506
ssr,fr,ch,Végétalisme,M527x544S10018496x514S1f040498x509S28909500x478S21000473x512S28909496x461S22204504x476S22204497x457
ssr,fr,ch,Fermer,M541x527S15d02478x499S15d0a459x499S15d40522x473S26903516x508S20500477x491
ssr,fr,ch,Hiérarchie,M513x533S11e50488x503S25100495x466
ssr,fr,ch,Alpiniste,M532x598S15020506x547S15028469x521S22b00512x508S22b10474x483S22b00515x466S22b10477x445S2fd00486x592S22b00516x423S22b10476x403
ssr,fr,ch,Intestin grêle,M557x550S36d00479x451S10c09475x489S1ce02496x479S28c0c507x500S28c04488x522S21100530x504S20500491x474S2e232525x479
ssr,fr,ch,Collecte,M546x557S15d39492x534S2d802487x489S14c40514x460S14c32453x482S22530504x442S1f532499x510S20500484x526
ssr,fr,ch,Prune,M558x530S36d00479x503S37609518x490S17716525x471S2e230539x497
ssr,fr,ch,On verra,M550x531S31410482x483S20600527x501S26a04523x485S10001506x501
ssr,fr,ch,Jass,M536x516S1ea18464x495S1ea10480x486S20500469x484S26b00509x484
ssr,fr,ch,Parapsychologie,M532x533S16c1e489x468S15d10513x474S20600468x482S37800502x488S37810517x501
ssr,fr,ch,Versoix,M561x540S10e20516x491S10e28466x486S23600522x463S23614440x460S2fd00489x534
ssr,fr,ch,Hypocrite,M529x583S15d39486x542S1c551504x524S26607492x555S21100507x569S30c00482x483
ssr,fr,ch,Harpon,M564x566S20301449x465S2030b436x476S22d07465x434S2030b453x545S1f031534x467S22a03528x490S22a03518x501S22a03507x512S22205523x483S22205512x492S22205504x503
ssr,fr,ch,Affolé - affolée,M580x518S25110414x472S14c10533x469S14c18442x471S25100562x474S31a00482x483
ssr,fr,ch,Tintin,M532x518S30000482x483S2c630483x458S13d10503x472S13f10491x450
ssr,fr,ch,Viande,M521x531S15d59480x494S1d110492x497S20800485x521S26a20488x470
ssr,fr,ch,Rejoindre,M514x532S1f548487x469S1f540497x474S20500487x499S26600498x502
ssr,fr,ch,Local de vote,M530x578S1ce40507x422S1ce48472x422S27a16471x456S27a0e502x456S20500495x446S20500496x486S17d48481x558S18550502x563S21310483x531S22f04491x513
ssr,fr,ch,Facture,M524x534S15d0a476x477S1a050484x505S22c04486x466S22e04507x499
ssr,fr,ch,Développement 2,M566x520S15340503x484S15348487x485S20500498x509S14c41540x481S14c49435x483S26506524x493S26512465x494
ssr,fr,ch,Autoroute,M546x534S1ec01507x486S1ec09464x487S27104506x519S27110455x466
ssr,fr,ch,Porto,M575x520S1ce00532x461S23103554x493S2f900559x515S2ff00482x482
ssr,fr,ch,Regarder 2,M545x530S31510482x483S10001509x500S20600523x494
ssr,fr,ch,Bête,AS10e10S22e00S20500S30000M540x518S30000482x483S10e10492x448S22e00523x467S20500526x454
ssr,fr,ch,Val d'anniviers,M534x544S16c19488x457S37a0a467x472S15d11486x483S37803504x502S22c01494x511S20500474x477
ssr,fr,ch,La plagne,M546x521S33100482x483S12900522x499S22110519x488
ssr,fr,ch,Diagnostic,M521x577S10018479x424S10e50499x441S23004496x477S10018480x510S20320488x543S26500490x562S21600509x568S20500498x528
ssr,fr,ch,Jungle,M571x537S28714448x504S1a010513x462S37800523x490S37800470x492S28704539x491S1a018465x463S28700555x505S28710429x487
ssr,fr,ch,Rattraper 1,M554x542S14e40526x511S14e48446x510S20340501x458S20348492x475S26701523x476S26717457x475S20500490x459
ssr,fr,ch,Enfiler,M526x527S1ea18474x506S1f420497x490S26500495x473
ssr,fr,ch,Volley-ball,M548x518S2ff00482x483S11e20510x452S11e28467x451S25500521x429S25500535x429S25510472x426S25510456x426
ssr,fr,ch,Couler 1,M526x561S15d41499x451S15d49475x452S15d11503x502S15d19479x502S2b705494x469S20500492x439S20500497x515S22b24494x531
ssr,fr,ch,Boucherie,M565x523S36a00482x477S1f520514x507S20600543x511
ssr,fr,ch,Courage,M540x527S20341519x506S20349461x505S2b800514x474S2b811463x475
ssr,fr,ch,Vie,M548x525S36d00479x483S14201518x498S14209452x500S2b700525x475S2b710458x477S20e00503x513S20e00486x513
ssr,fr,ch,Affamé - affamée,M521x602S16d02489x553S36d00479x541S21100482x577S22b04493x572S30f00483x483
ssr,fr,ch,Lent,M549x625S36d10479x526S14c50525x555S14c58453x556S35a04483x482S2eb3c530x592S2eb4c457x593
ssr,fr,ch,Catholique,M548x566S2ff00483x483S20500521x531S36d00479x523S20500478x532S20500496x487S20500494x555S23304489x527S22b30497x507S18000518x489
ssr,fr,ch,Placer,M537x529S15228474x471S15220506x471S18520508x514S18528466x514S22a04524x494S22a14463x495S22104503x505S22104489x505
ssr,fr,ch,Enceinte,M529x537S14c0b467x510S14c03502x511S36d00479x463S26500510x491S26510472x490
ssr,fr,ch,Autobus -trolleybus - bus,AS10e20S26700M508x537S10e20493x507S26700492x462
ssr,fr,ch,Horticulteur - horticultrice,M526x533S15a58478x506S1d450497x497S2bb00474x468
ssr,fr,ch,Mignon,AS1d410S20500S2e230S30005M537x561S30005482x482S1d410508x496S2e230516x529S20500507x518
ssr,fr,ch,Servir,M547x531S15d30528x504S15d38479x505S2fb00507x524S26701496x469S26711454x473
ssr,fr,ch,Hugo victor,M553x559S30007482x483S30005482x483S1dc21516x488S20500510x477S20500511x511S37900535x508S37906495x552S15a5a526x547S20500538x536
ssr,fr,ch,S'en mordre les doigts,M528x536S36100482x483S20a00487x521S18000498x507
ssr,fr,ch,Bouche,M550x537S33b00482x483S10000487x504S2e300509x510S21100537x520
ssr,fr,ch,Villars-sur-glâne,M575x521S15051547x493S36d00479x504S22621535x480
ssr,fr,ch,Caravane,M536x524S1ce48464x476S10a20480x498S22e03517x493
ssr,fr,ch,Restrucuration,M550x537S1ea18476x464S1ea10499x463S20500495x480S22c24492x495S27200510x494S2721c451x500
ssr,fr,ch,Papillon,AS15d01S15d09S20700S22115S22113M542x529S15d01481x485S15d09497x487S37703498x506S3770b479x507S22113523x493S22115459x490S20700493x470
ssr,fr,ch,Habit,M561x522S36d00479x479S14c03510x496S14c0b463x496S22f04536x503S22f14438x502S20f00535x490S20f00438x488
ssr,fr,ch,Garage 1,M525x523S20349482x502S10e31476x479S2f000504x494S21100512x478
ssr,fr,ch,Étudier,M518x589S15a00501x531S15a08486x531S20500495x521S2e520487x562S2ff00482x483
ssr,fr,ch,Ça dépend,M541x530S10150500x469S10158470x482S23604502x499S23610459x513
ssr,fr,ch,Mario bros,M542x518S30000482x483S18d50491x472S20600520x483
ssr,fr,ch,Otto's,M583x533S10020537x473S37800544x501S22f00558x468S36d00479x499
ssr,fr,ch,Houston,M544x539S30005482x483S11520513x509S20600522x508
ssr,fr,ch,Occasion 1,M518x533S30004482x483S20342492x518S20600466x519
ssr,fr,ch,Brosse à cheveux,M539x568S16d20503x474S16d28482x474S32a00481x432S26506524x479S26512460x477S36b00484x532S20311508x515S2880c525x537
ssr,fr,ch,Admirer,M541x525S31410482x482S35d04482x482S22a04502x498S21100518x497S11800526x498
ssr,fr,ch,Mise à jour,M553x535S15228457x417S15220520x418S18520509x385S18528465x384S30004482x483S2b700534x401S2b711443x399S10040525x471S10010487x505S2b700516x505S20e00507x523
ssr,fr,ch,Honnête,M518x518S30000482x483S10e10487x488S26600485x449S20500497x470
ssr,fr,ch,Barrer 2,M523x521S15d0a478x488S1ea20483x500S26506508x495S21100505x479
ssr,fr,ch,Plaque,M535x533S27a1a466x493S20500494x482S27a02507x493S20500495x522S10c20506x468S10c28475x468
ssr,fr,ch,Céder 1,M551x526S15d30532x499S15d38483x500S2fb00511x519S2d700497x474S2d710450x477
ssr,fr,ch,Vignette,M520x520S1470a481x480S11520490x484S20500502x487S26500506x505
ssr,fr,ch,Orientation professionnelle,M528x547S15d39472x498S15a41488x506S2dd0e473x453S20e00496x487S37703506x525 M560x517S30007482x482S17c10517x468S20500504x471S18510535x436S26507531x452
ssr,fr,ch,Remarquer,M544x567S20e00501x495S10a01516x498S2ff00482x483S2e00d515x529
ssr,fr,ch,Insatisfait - insatisfaite,M547x585S15d02485x425S36d00479x415S2e600489x446S21100521x449S10020532x512S27202523x545
ssr,fr,ch,Aide-soignant,AS15d31S15d39S22a20S18520S18528S2eb0cS2eb48M549x557S15d39480x470S15d31497x465S22a20494x444S18528474x529S18520506x528S2eb0c534x525S2eb48451x524
ssr,fr,ch,Véhicule,M563x605S1ec01508x413S1ec09458x438S23603524x395S23611438x422S2fb00496x460S20350518x493S20358468x494S23000538x487S10001504x542S10009477x542S22c05522x572S22c13445x570S21913520x543S21911461x545
ssr,fr,ch,Mastercard,M528x558S15d0a472x442S21300478x469S16d20493x444S27106513x448S17618477x525S17610488x525S20600478x547
ssr,fr,ch,Se moucher,M524x551S33100482x491S1e101486x506S20700491x536S22105469x496S22101515x524S30350496x475
ssr,fr,ch,Interrompre,M530x527S17d38470x498S15d00489x500S20700477x473S22b03506x476
ssr,fr,ch,Morsure,M538x520S20357500x481S3770b482x496S12810489x496S28803518x491S20700463x497
ssr,fr,ch,Arrestation,M559x532S1ec40513x492S1ec48462x492S22b15442x468S22b03535x468S26902514x516S26916466x516
ssr,fr,ch,Facile,AS1dc01S20e00S20e00S26a04S1f401S30004M521x584S30004482x482S1dc01488x516S20e00509x513S20e00475x513S26a04486x548S1f401488x563
ssr,fr,ch,Cocher,M525x514S1f450496x487S2330b475x492
ssr,fr,ch,Couronne de fleurs,M542x572S33100482x483S15330491x523S21d00524x541S17630492x556S2eb00508x528S16d20504x409S16d28483x409S28b0c522x425S28b14462x424
ssr,fr,ch,Embellir,M559x576S30004482x483S16002484x518S25504493x532S18501486x557S21000515x516S18530510x374S18538478x374S14050485x422S22e00519x429S2b701540x370S2b711453x369
ssr,fr,ch,Élastique,M544x522S1ea42502x485S1ea4a480x485S20500497x511S26a06530x478S26a12457x479
ssr,fr,ch,Épais,M540x568S32a00482x483S17d10517x553S17d18456x553
ssr,fr,ch,Avenue,M551x540S15d40522x461S15d48460x463S26700520x498S26710465x497S22e00534x521S22e10449x521
ssr,fr,ch,Accuser,M533x545S20500487x525S25603489x485S20348468x530S10041469x499S10010518x455
ssr,fr,ch,Col du simplon,M553x523S33100482x483S10a11494x497S21200525x504S21800530x492
ssr,fr,ch,Ouvrir 2,M532x528S20500468x506S15d42478x493S15d4a480x509S15d40509x472S26907513x507
ssr,fr,ch,Pantalon,M556x584S36d10478x416S15d14464x458S15d1c488x458S2c611446x453S2c600507x452S36d10479x517S15d14492x557S15d1c516x557S2c600537x554S2c611472x558
ssr,fr,ch,Thonon-les-bains,M547x533S36d00479x468S1f502504x487S1f50a476x487S23604508x516S23614449x516S21100524x499S21100460x498
ssr,fr,ch,Poste,M524x528S15d39488x493S20341489x472S20500501x513S20500511x504S26507511x515S21400476x513
ssr,fr,ch,Route principale,M564x592S11a51520x450S11a59472x451S26600528x410S26610481x409S1f540549x530S2e230545x560S36d00479x565
ssr,fr,ch,Infecter,M538x550S36d00479x451S14c09462x464S14c01507x463S17709464x529S17701516x530S22b00514x495S22b10464x494S21b00530x509S21b00456x508
ssr,fr,ch,Humide,M535x552S17e30512x536S17e38462x537S30c00482x483S22214508x525S22214468x526
ssr,fr,ch,Bouger,M558x542S20351513x480S20359469x496S27100516x459S27114448x475S2c503526x501S2c516443x514
ssr,fr,ch,Casque vélo,M539x518S2ff00482x483S22a14466x491S22a04520x490S1ec40516x469S1ec48463x469
ssr,fr,ch,Commémoration,M566x518S10028477x404S10020521x373S22b00535x406S22b04520x408S22b04550x408S22b14461x371S22b10477x371S22b10445x371S2fb00498x384S30000482x483S1ea10500x486S20500497x471S2b700509x463S2b705528x461
ssr,fr,ch,Corbeau,M548x517S13d00517x494S13f00519x455S33200482x482S2b700507x463
ssr,fr,ch,Se comporter,M549x526S36d00479x479S1800a457x474S18002527x475S20500509x493S20500481x493S27104509x511S27110452x509
ssr,fr,ch,Arc-en-ciel,AS14403S28f0aM540x533S14403460x505S28f0a486x467
ssr,fr,ch,Casque intégral,M534x517S2ff00482x482S16d40516x467S16d48465x467S22a04520x489S22a14466x490
ssr,fr,ch,Vide,AS20320S15a0aS22e04S20e00S2f900M523x525S15a18477x474S20310492x474S22e04493x492S20e00495x513S2f900512x497
ssr,fr,ch,Loi,M524x523S15d18477x484S20600502x512S1dc20495x477
ssr,fr,ch,Brioche,M522x523S16c48478x502S15312489x477S22a00498x493S21b00514x497
ssr,fr,ch,Oignon,AS12840S20500S21800S31510M534x517S31510482x482S12840511x483S20500501x498S21800514x472
ssr,fr,ch,Matlin marlee,M554x535S30005482x482S18d10512x510S26a03526x502S20e00542x496
ssr,fr,ch,Furet,M532x508S18510507x493S29a02468x493
ssr,fr,ch,Vent,AS10e47S10e49S2900fS2901fS2900fS2901fS2fb00M555x544S10e47525x489S10e49472x503S2900f501x472S2900f517x455S2901f445x485S2901f459x465S2fb00500x538
ssr,fr,ch,Cfc - certificat fédéral de capacité,M531x515S16d10469x495S16d10514x494S1d220486x485
ssr,fr,ch,Paléo,M568x534S30001482x483S30007482x483S1cf10512x465S1cf18461x466S2890b525x498S2890b543x489S28913450x500S28913437x486S2fd00487x528S20500508x469S20500483x470
ssr,fr,ch,France,AS1d220S26606M532x514S1d220469x485S26606502x498
ssr,fr,ch,Altitude,M528x534S18018472x519S18010498x514S20500488x505S22c00501x467
sgg,de,ch,Agenda,M525x567S27002505x507S15d18475x516S20500494x540S1ea10502x546S20500495x513S20500494x527S15a10498x434S15a18484x434S20500494x463S2e01c478x465S2e004501x464S2fb00494x493
ssr,fr,ch,Remorque,M543x519S1764a458x497S10a52468x481S22e03487x500S26626513x491
ssr,fr,ch,Chômage,AS20332S2033aS20500S20500S26606S26612S20500S20500S36d00S36d00M544x536S36d00480x463S36d00479x532S20332485x493S2033a509x506S37806474x514S37806500x500S26606504x485S26612469x516S20500490x479S20500534x481S20500499x518S20500457x520
ssr,fr,ch,Bagarre,M538x586S3770b465x532S30c00482x483S20309478x519S20301501x519S37703516x534S2e50d503x545S2e515477x544S20600491x575
ssr,fr,ch,Consister à,M528x528S17d48473x507S18550491x513S22f04495x472S21010490x488
ssr,fr,ch,Ancien testament,M580x572S36d00477x457S14c10530x429S2ec04558x438S36d00482x527S1ce21535x516S1ce09535x536S20700562x539S25623507x548
ssr,fr,ch,String,M517x529S19210483x471S2c705496x500
ssr,fr,ch,Reportage,M523x524S20349481x503S12d41477x477S2f000502x491S20500477x499
ssr,fr,ch,Indiquer 1,M537x556S15d17514x518S10019496x526S20500512x514S10008474x461S15d20464x444S27320476x502
